session,dir,entry_ts,entry,exit,pnl,mag_pct,stopped
2021-01-26,1,2021-01-26 11:05:00-05:00,16353.75,16324.25,-30.75,0.0017449602791936446,False
2021-01-28,1,2021-01-28 10:50:00-05:00,16113.25,16025.25,-89.25,0.008674721392957064,False
2021-02-18,-1,2021-02-18 10:15:00-05:00,16360.0,16477.25,-118.5,0.002777141985198749,False
2021-02-24,-1,2021-02-24 10:15:00-05:00,15826.75,15985.0175,-159.51749999999993,0.005011310795525952,True
2021-03-03,-1,2021-03-03 11:05:00-05:00,15758.25,15519.75,237.25,0.003942657982305351,False
2021-03-09,1,2021-03-09 09:55:00-05:00,15525.0,15626.25,100.0,0.0023627271697441456,False
2021-04-13,1,2021-04-13 10:00:00-04:00,16790.0,16824.0,32.75,0.0032584000956594524,False
2021-06-17,1,2021-06-17 10:00:00-04:00,16884.75,17016.5,130.5,0.0018606728192914557,False
2021-07-02,1,2021-07-02 11:55:00-04:00,17530.5,17575.0,43.25,0.0018725253362683859,False
2021-08-17,-1,2021-08-17 11:55:00-04:00,17817.25,17860.0,-44.0,0.002111622313275252,False
2021-12-13,-1,2021-12-13 10:05:00-05:00,19135.25,18954.25,179.75,0.0033734939759036144,False
2021-12-14,-1,2021-12-14 14:45:00-05:00,18723.5,18794.0,-71.75,0.0044666666666666665,False
2022-01-07,-1,2022-01-07 10:30:00-05:00,18526.25,18452.25,72.75,0.0017047208687364932,False
2022-01-10,-1,2022-01-10 10:00:00-05:00,18126.25,18307.5125,-182.51250000000073,0.0020416832239411337,True
2022-01-27,1,2022-01-27 09:55:00-05:00,17247.0,17074.53,-173.72000000000116,0.00411325252172902,True
2022-02-16,-1,2022-02-16 10:05:00-05:00,17289.5,17462.395,-174.14500000000044,0.003135562747213233,True
2022-03-31,-1,2022-03-31 12:35:00-04:00,17858.0,17746.5,110.25,0.001990950226244344,False
2022-04-08,-1,2022-04-08 10:20:00-04:00,17234.25,17212.25,20.75,0.004353090405904059,False
2022-04-12,1,2022-04-12 10:20:00-04:00,17080.0,16909.2,-172.04999999999927,0.002210769816403619,True
2022-04-26,-1,2022-04-26 09:55:00-04:00,16150.25,15885.75,263.25,0.002297794117647059,False
2022-05-06,-1,2022-05-06 15:25:00-04:00,15450.25,15604.7525,-155.7525000000005,0.007003293786575421,True
2022-05-18,-1,2022-05-18 10:30:00-04:00,15173.25,14816.5,355.5,0.004542696426521475,False
2022-05-27,1,2022-05-27 10:05:00-04:00,15409.0,15557.25,147.0,0.005054387830211826,False
2022-06-03,-1,2022-06-03 13:15:00-04:00,15479.75,15429.75,48.75,0.007604990674641456,False
2022-06-10,-1,2022-06-10 10:00:00-04:00,14834.25,14713.25,119.75,0.005295704781217007,False
2022-06-13,-1,2022-06-13 12:55:00-04:00,14314.75,14173.0,140.5,0.003677880425309395,False
2022-06-15,1,2022-06-15 10:10:00-04:00,14402.75,14258.7225,-145.27750000000015,0.0021627278276794277,True
2022-06-24,1,2022-06-24 10:05:00-04:00,14883.5,14994.0,109.25,0.0017011721075821241,False
2022-07-19,1,2022-07-19 10:35:00-04:00,14929.0,15115.5,185.25,0.004846635026581026,False
2022-07-26,-1,2022-07-26 10:20:00-04:00,15053.5,14957.25,95.0,0.0018016231136675426,False
2022-07-27,1,2022-07-27 10:05:00-04:00,15246.0,15462.25,215.0,0.0016337442447645924,False
2022-09-06,-1,2022-09-06 11:30:00-04:00,14913.75,14868.25,44.25,0.0023706968513139003,False
2022-09-07,1,2022-09-07 11:20:00-04:00,14978.25,15108.75,129.25,0.0025358972205894704,False
2022-09-12,1,2022-09-12 11:00:00-04:00,15555.25,15594.5,38.0,0.0019196025293586269,False
2022-09-13,-1,2022-09-13 10:25:00-04:00,15139.25,14889.25,248.75,0.012036322435507972,False
2022-09-14,1,2022-09-14 10:45:00-04:00,14966.5,14987.5,19.75,0.0024933900063589813,False
2022-09-26,1,2022-09-26 10:00:00-04:00,14261.0,14118.39,-143.86000000000058,0.0015224472454326583,True
2022-10-06,-1,2022-10-06 11:15:00-04:00,14357.75,14312.0,44.5,0.00342966573816156,False
2022-10-07,-1,2022-10-07 10:25:00-04:00,14024.5,13868.5,154.75,0.0044986805051274335,False
2022-10-17,1,2022-10-17 11:50:00-04:00,13886.25,13880.25,-7.25,0.006753567408590828,False
2022-10-21,1,2022-10-21 09:55:00-04:00,13900.75,14123.5,221.5,0.0015564484019256525,False
2022-10-27,-1,2022-10-27 10:45:00-04:00,14120.5,14010.75,108.5,0.0016054762618866992,False
