date,ticker,target_weight,target_value,sleeves
2026-06-08,GOOG,0.041039,4109.14,MR_NQ100
2026-06-08,GOOGL,0.039944,3999.51,MR_NQ100
2026-06-08,SBUX,0.06534,6542.32,MR_NQ100
