symbol,source_feed,bucket,required_asset,last_date,polygon_ticker,security_type,note
ASPU,norgate,norgate_only_review,False,2026-04-22,,unit,"active, no polygon match -> review"
ATEYY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ATGN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ATXI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AUMN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AUOTY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AVLNF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AVVIY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AWHL,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
AXAHY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
AZREF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BASFY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BAYRY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BBIG,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BCLI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BCOW,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BCTF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BDCO,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BDRLQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
BESIY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BEVFF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BGXXQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
BHATF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BIGGQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
BIMI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BINI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BK,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BK-K,norgate,norgate_only_review,False,2026-04-22,,preferred_or_class,"active, no polygon match -> review"
BKMP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BKOR,norgate,norgate_only_review,False,2026-04-22,,rights,"active, no polygon match -> review"
BKSC,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BKYI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BLGO,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BLIAQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
BMNM,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BNCC,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BOWFF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BPTH,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BRQSF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BRSHF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BSFC,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BSLK,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BSLKW,norgate,norgate_only_review,False,2026-04-22,,warrant,"active, no polygon match -> review"
BTCY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BTFL,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BTM,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BTMWW,norgate,norgate_only_review,False,2026-04-22,,warrant,"active, no polygon match -> review"
BTOP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BUKS,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BWEB,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
BXSY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
BZLFY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CA,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CAEP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CAJPY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CARM,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CARV,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CASIF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CBLRF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CCHGY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CCLDO,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CCUR,norgate,norgate_only_review,False,2026-04-22,,rights,"active, no polygon match -> review"
CEIN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CELG_R,norgate,norgate_only_review,False,2026-04-22,,rights,"active, no polygon match -> review"
CERO,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CGBSF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CHKR,norgate,norgate_only_review,False,2026-04-22,,rights,"active, no polygon match -> review"
CHUC,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CIMG,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CLEUF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CLRD,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CLSDQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
CMBMF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CMLSQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
CMPD,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CNAF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CNRD,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CNTMD,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CNVIF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
COEP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
COEPW,norgate,norgate_only_review,False,2026-04-22,,warrant,"active, no polygon match -> review"
CORBF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CPHRF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CPMD,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CPTAF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CPTWF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CSCIF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CSGS,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CTBB,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CTDD,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CTLP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CTRA,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CUEN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CUK,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CULL,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CVGW,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CWEN.A,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CYAN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
CYTOF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
CZOOF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
DANOY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
DASTY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
DAWN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
DBSC,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
DGMA,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
DHAI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
DHTI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
DHY_R,norgate,norgate_only_review,False,2026-04-22,,rights,"active, no polygon match -> review"
DHY_RWI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
DIDIY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
DIIBF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
DMNIF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
DPLS,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
DRTTF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
DTCKF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
DTEAF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
DTEGY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
DTGI,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
DTSTW,norgate,norgate_only_review,False,2026-04-22,,warrant,"active, no polygon match -> review"
DXYN,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
EATZ,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ECCW,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ECCX,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ECRO,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ECTM,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
EDAP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
EDPFY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
EDTXF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
EGLXF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
EGOXF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
EHAB,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
EKSO,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ELIQQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
ELMSQ,norgate,norgate_only_review,False,2026-04-22,,bankruptcy_otc,"active, no polygon match -> review"
ELOX,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ELTP,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
ELUXY,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ELYS,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
EM,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
EMITF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
EMWPF,norgate,norgate_only_review,False,2026-04-22,,otc_foreign_adr,"active, no polygon match -> review"
ENSV,norgate,norgate_only_review,False,2026-04-22,,unknown,"active, no polygon match -> review"
